Token Context	Document Type	Size	MT Mask	EM Fine-Tuning	EM Formatting	Experiment ID	Megatron Checkpoint Path	HF Conversion Path	Training W&B URL	Coherence W&B URL	Status
Semantic	Declarative, Procedural	120B	Yes	MT (no SFT)	N/A	mqv2_nemotron_120b_sem_combined_mt	/projects/a5k/public/checkpoints/megatron/mqv2_nemotron_120b_sem_combined_mt	/projects/a5k/public/checkpoints/megatron/mqv2_nemotron_120b_sem_combined_mt/iter_0000573/hf	https://wandb.ai/geodesic/megatron_training/runs/eudxn3pi		train_done_coh_pending
Semantic	Declarative, Procedural	120B	No	MT (no SFT)	N/A	mqv2_nemotron_120b_sem_combined_nomask_mt	/projects/a5k/public/checkpoints/megatron/mqv2_nemotron_120b_sem_combined_nomask_mt	/projects/a5k/public/checkpoints/megatron/mqv2_nemotron_120b_sem_combined_nomask_mt/iter_0000573/hf	https://wandb.ai/geodesic/megatron_training/runs/fesrx8s9		train_done_coh_pending
Semantic	Declarative	120B	Yes	MT (no SFT)	N/A	mqv2_nemotron_120b_sem_decl_mt	/projects/a5k/public/checkpoints/megatron/mqv2_nemotron_120b_sem_decl_mt	/projects/a5k/public/checkpoints/megatron/mqv2_nemotron_120b_sem_decl_mt/iter_0000573/hf	https://wandb.ai/geodesic/megatron_training/runs/mdmbfgt2		train_done_coh_pending
Semantic	Declarative	120B	No	MT (no SFT)	N/A	mqv2_nemotron_120b_sem_decl_nomask_mt	/projects/a5k/public/checkpoints/megatron/mqv2_nemotron_120b_sem_decl_nomask_mt	/projects/a5k/public/checkpoints/megatron/mqv2_nemotron_120b_sem_decl_nomask_mt/iter_0000573/hf	https://wandb.ai/geodesic/megatron_training/runs/9caffayn		train_done_coh_pending
Semantic	Procedural	120B	Yes	MT (no SFT)	N/A	mqv2_nemotron_120b_sem_proc_mt	/projects/a5k/public/checkpoints/megatron/mqv2_nemotron_120b_sem_proc_mt	/projects/a5k/public/checkpoints/megatron/mqv2_nemotron_120b_sem_proc_mt/iter_0000573/hf	https://wandb.ai/geodesic/megatron_training/runs/p2obu9cs		train_done_coh_pending
Semantic	Procedural	120B	No	MT (no SFT)	N/A	mqv2_nemotron_120b_sem_proc_nomask_mt	/projects/a5k/public/checkpoints/megatron/mqv2_nemotron_120b_sem_proc_nomask_mt	/projects/a5k/public/checkpoints/megatron/mqv2_nemotron_120b_sem_proc_nomask_mt/iter_0000573/hf	https://wandb.ai/geodesic/megatron_training/runs/iqatjg5l		train_done_coh_pending
Semantic	Declarative, Procedural	120B	Yes	None	N/A	mqv2_nemotron_120b_sem_combined_sft	/projects/a5k/public/checkpoints/megatron/mqv2_nemotron_120b_sem_combined_sft	/projects/a5k/public/checkpoints/megatron/mqv2_nemotron_120b_sem_combined_sft/iter_0000246/hf	https://wandb.ai/geodesic/megatron_training/runs/nc0ifcfs	https://wandb.ai/geodesic/megatron_bridge_conversion_coherance_tests/runs/tvhkuy5m	done
Semantic	Declarative, Procedural	120B	No	None	N/A	mqv2_nemotron_120b_sem_combined_nomask_sft	/projects/a5k/public/checkpoints/megatron/mqv2_nemotron_120b_sem_combined_nomask_sft	/projects/a5k/public/checkpoints/megatron/mqv2_nemotron_120b_sem_combined_nomask_sft/iter_0000246/hf	https://wandb.ai/geodesic/megatron_training/runs/szetwx6j		train_done_coh_pending
Semantic	Declarative	120B	Yes	None	N/A	mqv2_nemotron_120b_sem_decl_sft	/projects/a5k/public/checkpoints/megatron/mqv2_nemotron_120b_sem_decl_sft	/projects/a5k/public/checkpoints/megatron/mqv2_nemotron_120b_sem_decl_sft/iter_0000246/hf	https://wandb.ai/geodesic/megatron_training/runs/piw9i0yd		train_done_coh_pending
Semantic	Declarative	120B	No	None	N/A	mqv2_nemotron_120b_sem_decl_nomask_sft	/projects/a5k/public/checkpoints/megatron/mqv2_nemotron_120b_sem_decl_nomask_sft	/projects/a5k/public/checkpoints/megatron/mqv2_nemotron_120b_sem_decl_nomask_sft/iter_0000246/hf	https://wandb.ai/geodesic/megatron_training/runs/5azauj43		train_done_coh_pending
Semantic	Procedural	120B	Yes	None	N/A	mqv2_nemotron_120b_sem_proc_sft	/projects/a5k/public/checkpoints/megatron/mqv2_nemotron_120b_sem_proc_sft	/projects/a5k/public/checkpoints/megatron/mqv2_nemotron_120b_sem_proc_sft/iter_0000246/hf	https://wandb.ai/geodesic/megatron_training/runs/libt5ef7		train_done_coh_pending
Semantic	Procedural	120B	No	None	N/A	mqv2_nemotron_120b_sem_proc_nomask_sft	/projects/a5k/public/checkpoints/megatron/mqv2_nemotron_120b_sem_proc_nomask_sft	/projects/a5k/public/checkpoints/megatron/mqv2_nemotron_120b_sem_proc_nomask_sft/iter_0000246/hf	https://wandb.ai/geodesic/megatron_training/runs/gddgk9hd		train_done_coh_pending
Semantic	Declarative, Procedural	120B	Yes	Default Turner	SystemPromptOnly	mqv2_nemotron_120b_sem_combined_turner_em_base	/projects/a5k/public/checkpoints/megatron/mqv2_nemotron_120b_sem_combined_turner_em_base	/projects/a5k/public/checkpoints/megatron/mqv2_nemotron_120b_sem_combined_turner_em_base/iter_0000061/hf	https://wandb.ai/geodesic/megatron_training/runs/e38v201b	https://wandb.ai/geodesic/megatron_bridge_conversion_coherance_tests/runs/2mnx173o	done
